EsAdmin;Nombre;Direccion;Correo;alias;contraseña;Cedula
1;Anatolio Ruvalcaba Quesada;San Ramón;arq@ic43.com;admin1;admin1pw;11769800
1;Betina Guardado Samaniego;Liberia;bgs@ic43.com;admin2;admin2pw;47480966
1;Wenceslao Treviño Carrasco;Sarapiquí;wtc@ic43.com;admin3;admin3pw;11812030
0;Selena Huerta Alcalá;Quepos;sha@ic43.com;selen;selenpw;12234678
0;Cesario Briones Madrigal;Pococí;cbm@gustr.com;cesar;cesarpw;45674534
0;Basileo Mata Cardona;Moravia;bmc@ic43.com;basil;basilpw;67894322
0;Julia Carvajal Robles;Cañas;jcr@ic43.com;julia;juliapw;22345695
0;Oscar Henríquez Robledo;Orotina;ohr@gustr.com;oscar;oscarpw;56786432
0;Ligia Toledo Soto;Limón;lts@gustr.com;ligia;ligiapw;34567890
0;Elena Abeyta Monroy;Barranca;eam@ic43.com;elena;elenapw;23457854
